input_addr;input_cep;output_addr_1;output_addr_2;output_addr_3;output_addr_cep_1;output_addr_cep_2;output_addr_cep_3;lat1;lon1;lat2;lon2;lat3;lon3
RUA DE MARQUES ABRANTES JARDIM SANTA GENEBRA CAMPINAS SP 13080220 BRASIL;13080220;RUA MARQUES DE ABRANTES BARAO GERALDO CAMPINAS SAO PAULO 13080220;RUA MARQUES DE ABRANTES JARDIM SANTA GENEBRA CAMPINAS SAO PAULO 13080220 BRAZIL;RUA MARQUES DE ABRANTES JARDIM SANTA GENEBRA CAMPINAS SP 13080220 BRASIL;13080220;13080220;13080220;-22,8505008;-47,06623255;-22,85000378;-47,06650226;-22,8503;-47,06634
RUA ABRAO BARACAT JARDIM SAO JOSE CAMPINAS SP 13051155 BRASIL;13051155;RUA ABRAO BARACAT CAMPINAS SAO PAULO 13051155;RUA ANTONIO BARACAT JARDIM ESPLANADA CAMPINAS SAO PAULO 13057009 BRAZIL;RUA ABRAO BARACAT CAMPINAS SP 13051155 BRASIL;13051155;13057009;13051155;-22,95963998;-47,09687795;-22,9723308;-47,15314956;-22,95942;-47,09734
RUA ABRAO JOSE JORGE JARDIM OURO PRETO CAMPINAS SP 13059776 BRASIL;13059776;RUA ABRAO JOSE JORGE CAMPINAS SAO PAULO 13059776;RUA DOM IDILIO JOSE SOARES RUA VISCONDE DE OURO PRETO JARDIM MADALENA CAMPINAS SAO PAULO 13091580 BRAZIL;RUA ABRAO JOSE JORGE JARDIM OURO PRETO CAMPINAS SP 13059776 BRASIL;13059776;13091580;13059776;-22,95671499;-47,13293001;-22,8731207;-47,0254033;-22,95671;-47,13293
RUA ABROLHOS JARDIM SANTO ANTONIO CAMPINAS SP 13054776 BRASIL;13054776;RUA ABROLHOS CAMPINAS SAO PAULO 13054776;RUA ANTONIO CAMPANA JARDIM YEDA CAMPINAS SAO PAULO BRAZIL;PADARIA SANTO ANTONIO RUA ABROLHOS 15 DIC IV CAMPINAS SP 13054776 BRASIL;13054776;NA;13054776;-22,99118821;-47,12091718;-22,9686408;-47,11433995;-22,99132;-47,12091
RUA ABUNA PARQUE UNIVERSITARIO DE VIRACOPOS CAMPINAS SP 13056483 BRASIL;13056483;RUA ABUNA CAMPINAS SAO PAULO 13056483;RUA ABA PARQUE UNIVERSITARIO DE VIRACOPOS CAMPINAS SAO PAULO 13056502 BRAZIL;RUA ABUNA PARQUE UNIVERSITARIO DE VIRACOPOS CAMPINAS SP 13056483 BRASIL;13056483;13056502;13056483;-22,97063813;-47,14151174;-22,96386628;-47,14970391;-22,97064;-47,14151
RUA ACACIA JARDIM CAPIVARI CAMPINAS SP 13050816 BRASIL;13050816;RUA ACACIA CAMPINAS SAO PAULO 13050816;RUA ACACIA NUCLEO RESIDENCIAL JARDIM CAPIVARI CAMPINAS SAO PAULO 13050816 BRAZIL;RUA ACACIA JARDIM CAPIVARI CAMPINAS SP 13050816 BRASIL;13050816;13050816;13050816;-22,95714501;-47,10984998;-22,95738665;-47,10969765;-22,95714;-47,10985
RUA ACACIA MIMOSA LOTEAMENTO SOLAR CAMPINAS SP 13085692 BRASIL;13085692;RUA ACACIA MIMOSA CAMPINAS SAO PAULO 13085692;RUA ACACIA MIMOSA BARAO GERALDO CAMPINAS SAO PAULO 13085692 BRAZIL;RUA ACACIA MIMOSA LOTEAMENTO SOLAR DE CAMPINAS CAMPINAS SP 13085692 BRASIL;13085692;13085692;13085692;-22,79238526;-47,09708086;-22,79335574;-47,09647593;-22,79239;-47,09708
RUA DAS ACACIAS VILA BOA VISTA CAMPINAS SP 13064797 BRASIL;13064797;RUA DAS ACACIAS CAMPINAS SAO PAULO 13064797;RUA DAS ACACIAS NOVA BOA VISTA CAMPINAS SAO PAULO 13064797 BRAZIL;RUA DAS ACACIAS VILA BOA VISTA CAMPINAS SP 13064797 BRASIL;13064797;13064797;13064797;-22,89010562;-47,12373167;-22,8880436;-47,12605145;-22,89148;-47,12354
RUA ACAI BAIRRO DAS PALMEIRAS CAMPINAS SP 13092587 BRASIL;13092587;RUA ACAI CAMPINAS SAO PAULO 13092587;RUA ACAI BAIRRO DAS PALMEIRAS CAMPINAS SAO PAULO 13092587 BRAZIL;RUA ACAI BAIRRO DAS PALMEIRAS CAMPINAS SP 13092587 BRASIL;13092587;13092587;13092587;-22,89991;-47,020445;-22,8995843;-47,0190591;-22,90005;-47,02097
RUA DOS ACAJUS VILA BOA VISTA CAMPINAS SP 13064745 BRASIL;13064745;RUA DOS ACAJUS CAMPINAS SAO PAULO 13064745;RUA DOS ACAJUS NOVA BOA VISTA CAMPINAS SAO PAULO 13064745 BRAZIL;RUA DOS ACAJUS VILA BOA VISTA CAMPINAS SP 13064745 BRASIL;13064745;13064745;13064745;-22,88703001;-47,12569999;-22,88703904;-47,12564913;-22,88703;-47,1257
